,Unnamed: 0,Unnamed: 0.1,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
0,0,0,0.374097166322,0.0029201013139900003,0.3711433134400001,0.00595230246836,-1000.0,30.0001251544,0.2,0.38236349832816574
1,1,1,0.384064560174,0.0029201013139900003,0.378740202856,0.00595230246836,-944.4445,30.0001251544,0.2,0.3822481426587217
2,2,2,0.377750990921,0.0029201013139900003,0.373556285143,0.00595230246836,-888.8889,30.0001251544,0.2,0.3820870420816225
3,3,3,0.380807817324,0.0029201013139900003,0.377889575625,0.00595230246836,-833.3333,30.0001251544,0.2,0.3818723715476637
4,4,4,0.3791424583,0.0029201013139900003,0.383100574137,0.00595230246836,-777.7778,30.0001251544,0.2,0.38160385730971
5,5,5,0.381091796497,0.0029201013139900003,0.378640342411,0.00595230246836,-722.2222,30.0001251544,0.2,0.38128621223515485
6,6,6,0.37147807746,0.0029201013139900003,0.374921326653,0.00595230246836,-666.6667,30.0001251544,0.2,0.3809224798903809
7,7,7,0.381033411113,0.0029201013139900003,0.381051258874,0.00595230246836,-611.1111,30.0001251544,0.2,0.3805040876719293
8,8,8,0.378478515605,0.0029201013139900003,0.369538897014,0.00595230246836,-555.5555,30.0001251544,0.2,0.3799993032382277
9,9,9,0.372696222782,0.0029201013139900003,0.371006216897,0.00595230246836,-500.0,30.0001251544,0.2,0.3793406672455572
10,10,10,0.380094659724,0.0029201013139900003,0.378535162523,0.00595230246836,-500.0,30.0001251544,0.2,0.3793406672455572
11,11,11,0.379894437595,0.0029201013139900003,0.374727408791,0.00595230246836,-489.899,30.0001251544,0.2,0.37919613714768907
12,12,12,0.381893602062,0.0029201013139900003,0.383956037225,0.00595230246836,-479.798,30.0001251544,0.2,0.3790418528737687
13,13,13,0.378792757359,0.0029201013139900003,0.374134532733,0.00595230246836,-469.697,30.0001251544,0.2,0.3788767866304875
14,14,14,0.374951549302,0.0029201013139900003,0.3734731084040001,0.00595230246836,-459.5959,30.0001251544,0.2,0.37869982932609597
15,15,15,0.379097217269,0.0029201013139900003,0.373227446873,0.00595230246836,-449.495,30.0001251544,0.2,0.3785096980054011
16,16,16,0.387253135794,0.0029201013139900003,0.375576343472,0.00595230246836,-439.394,30.0001251544,0.2,0.3783050881988637
17,17,17,0.37306304195,0.0029201013139900003,0.369027142456,0.00595230246836,-429.2929,30.0001251544,0.2,0.3780845061232247
18,18,18,0.37496989026,0.0029201013139900003,0.369092426524,0.00595230246836,-419.1919,30.0001251544,0.2,0.37784628739134396
19,19,19,0.378767080018,0.0029201013139900003,0.372804188497,0.00595230246836,-409.0909,30.0001251544,0.2,0.37758863360367256
20,20,20,0.381644470711,0.0029201013139900003,0.375868912815,0.00595230246836,-398.9899,30.0001251544,0.2,0.37730953766180686
21,21,21,0.375480380269,0.0029201013139900003,0.372077721892,0.00595230246836,-388.8889,30.0001251544,0.2,0.3770067684612963
22,22,22,0.378924506577,0.0029201013139900003,0.368652968027,0.00595230246836,-378.7879,30.0001251544,0.2,0.37667783696507706
23,23,23,0.376988312734,0.0029201013139900003,0.374428915523,0.00595230246836,-368.6869,30.0001251544,0.2,0.3763199556675032
24,24,24,0.370680551451,0.0029201013139900003,0.372312140056,0.00595230246836,-358.5858,30.0001251544,0.2,0.3759299776533382
25,25,25,0.372633863523,0.0029201013139900003,0.372404142234,0.00595230246836,-348.4849,30.0001251544,0.2,0.37550440034601573
26,26,26,0.383225155643,0.0029201013139900003,0.377768679203,0.00595230246836,-338.3839,30.0001251544,0.2,0.3750391713604393
