,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0,0.374097166322,0.0029201013139900003,0.37114331344000007,0.00595230246836,-1000.0,30.0001251544,0.2
1,1,0.384064560174,0.0029201013139900003,0.378740202856,0.00595230246836,-944.4445,30.0001251544,0.2
2,2,0.377750990921,0.0029201013139900003,0.37355628514300004,0.00595230246836,-888.8889,30.0001251544,0.2
3,3,0.380807817324,0.0029201013139900003,0.377889575625,0.00595230246836,-833.3333,30.0001251544,0.2
4,4,0.3791424583,0.0029201013139900003,0.383100574137,0.00595230246836,-777.7778,30.0001251544,0.2
5,5,0.38109179649700003,0.0029201013139900003,0.378640342411,0.00595230246836,-722.2222,30.0001251544,0.2
6,6,0.37147807746,0.0029201013139900003,0.374921326653,0.00595230246836,-666.6667,30.0001251544,0.2
7,7,0.381033411113,0.0029201013139900003,0.381051258874,0.00595230246836,-611.1111,30.0001251544,0.2
8,8,0.378478515605,0.0029201013139900003,0.36953889701399995,0.00595230246836,-555.5555,30.0001251544,0.2
9,9,0.372696222782,0.0029201013139900003,0.371006216897,0.00595230246836,-500.0,30.0001251544,0.2
10,10,0.38009465972400003,0.0029201013139900003,0.378535162523,0.00595230246836,-500.0,30.0001251544,0.2
11,11,0.37989443759499997,0.0029201013139900003,0.374727408791,0.00595230246836,-489.899,30.0001251544,0.2
12,12,0.381893602062,0.0029201013139900003,0.383956037225,0.00595230246836,-479.798,30.0001251544,0.2
13,13,0.378792757359,0.0029201013139900003,0.374134532733,0.00595230246836,-469.69699999999995,30.0001251544,0.2
14,14,0.37495154930200003,0.0029201013139900003,0.37347310840400005,0.00595230246836,-459.5959,30.0001251544,0.2
15,15,0.379097217269,0.0029201013139900003,0.37322744687299997,0.00595230246836,-449.495,30.0001251544,0.2
16,16,0.387253135794,0.0029201013139900003,0.375576343472,0.00595230246836,-439.394,30.0001251544,0.2
17,17,0.37306304195,0.0029201013139900003,0.369027142456,0.00595230246836,-429.2929,30.0001251544,0.2
18,18,0.37496989026,0.0029201013139900003,0.36909242652400004,0.00595230246836,-419.1919,30.0001251544,0.2
19,19,0.378767080018,0.0029201013139900003,0.372804188497,0.00595230246836,-409.0909,30.0001251544,0.2
20,20,0.38164447071099994,0.0029201013139900003,0.37586891281499996,0.00595230246836,-398.9899,30.0001251544,0.2
21,21,0.375480380269,0.0029201013139900003,0.372077721892,0.00595230246836,-388.8889,30.0001251544,0.2
22,22,0.378924506577,0.0029201013139900003,0.368652968027,0.00595230246836,-378.7879,30.0001251544,0.2
23,23,0.376988312734,0.0029201013139900003,0.374428915523,0.00595230246836,-368.6869,30.0001251544,0.2
24,24,0.370680551451,0.0029201013139900003,0.372312140056,0.00595230246836,-358.5858,30.0001251544,0.2
25,25,0.37263386352300004,0.0029201013139900003,0.372404142234,0.00595230246836,-348.4849,30.0001251544,0.2
26,26,0.383225155643,0.0029201013139900003,0.377768679203,0.00595230246836,-338.3839,30.0001251544,0.2
27,27,0.371401351117,0.0029201013139900003,0.375016834827,0.00595230246836,-328.2828,30.0001251544,0.2
28,28,0.37262041348700004,0.0029201013139900003,0.374941153666,0.00595230246836,-318.1818,30.0001251544,0.2
29,29,0.3690861108,0.0029201013139900003,0.363743726987,0.00595230246836,-308.0808,30.0001251544,0.2
30,30,0.373678075422,0.0029201013139900003,0.364088765378,0.00595230246836,-297.9798,30.0001251544,0.2
31,31,0.369973813187,0.0029201013139900003,0.368719823749,0.00595230246836,-287.8788,30.0001251544,0.2
32,32,0.37177978622599994,0.0029201013139900003,0.367869921897,0.00595230246836,-277.7778,30.0001251544,0.2
33,33,0.37418611997,0.0029201013139900003,0.36566948610600003,0.00595230246836,-267.6768,30.0001251544,0.2
34,34,0.36908916762599997,0.0029201013139900003,0.360123000021,0.00595230246836,-257.5757,30.0001251544,0.2
35,35,0.369967088169,0.0029201013139900003,0.373740289499,0.00595230246836,-247.4747,30.0001251544,0.2
36,36,0.36723214558600004,0.0029201013139900003,0.365394809433,0.00595230246836,-237.3737,30.0001251544,0.2
37,37,0.36366880304899996,0.0029201013139900003,0.359491437108,0.00595230246836,-227.2727,30.0001251544,0.2
38,38,0.35817262917599996,0.0029201013139900003,0.35313361512900004,0.00595230246836,-217.1717,30.0001251544,0.2
39,39,0.35492903068000003,0.0029201013139900003,0.350996166374,0.00595230246836,-207.0707,30.0001251544,0.2
40,40,0.356707186599,0.0029201013139900003,0.353398378295,0.00595230246836,-196.9697,30.0001251544,0.2
41,41,0.35254348335600005,0.0029201013139900003,0.350940674916,0.00595230246836,-186.8687,30.0001251544,0.2
42,42,0.34909049225100003,0.0029201013139900003,0.34608245216600003,0.00595230246836,-176.7677,30.0001251544,0.2
43,43,0.35060545541599997,0.0029201013139900003,0.34607652824199997,0.00595230246836,-166.6667,30.0001251544,0.2
44,44,0.345793399293,0.0029201013139900003,0.34624046379100004,0.00595230246836,-156.5657,30.0001251544,0.2
45,45,0.331838069716,0.0029201013139900003,0.325876670335,0.00595230246836,-146.4646,30.0001251544,0.2
46,46,0.331870166393,0.0029201013139900003,0.329358366415,0.00595230246836,-136.3636,30.0001251544,0.2
47,47,0.31420812911999996,0.0029201013139900003,0.312390190787,0.00595230246836,-126.2626,30.0001251544,0.2
48,48,0.319443250018,0.0029201013139900003,0.3121126126,0.00595230246836,-116.1616,30.0001251544,0.2
49,49,0.309420833291,0.0029201013139900003,0.301089639459,0.00595230246836,-106.0606,30.0001251544,0.2
