,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0.364525593162,0.00373584548264,0.366953611908,0.00385480422346,-1000.0,9.9990191369,0.2
1,0.364867253828,0.00373584548264,0.358216437714,0.00385480422346,-944.4445,9.9990191369,0.2
2,0.365281070917,0.00373584548264,0.370648902247,0.00385480422346,-888.8889,9.9990191369,0.2
3,0.359305111994,0.00373584548264,0.357200164082,0.00385480422346,-833.3333,9.9990191369,0.2
4,0.373657349348,0.00373584548264,0.363770654451,0.00385480422346,-777.7778,9.9990191369,0.2
5,0.371229646477,0.00373584548264,0.371564057546,0.00385480422346,-722.2222,9.9990191369,0.2
6,0.364982704105,0.00373584548264,0.362308772279,0.00385480422346,-666.6667,9.9990191369,0.2
7,0.357388384836,0.00373584548264,0.35182328276,0.00385480422346,-611.1111,9.9990191369,0.2
8,0.360931842485,0.00373584548264,0.360407747636,0.00385480422346,-555.5555,9.9990191369,0.2
9,0.359863494478,0.00373584548264,0.364575886557,0.00385480422346,-500.0,9.9990191369,0.2
10,0.365048005669,0.00373584548264,0.368776080676,0.00385480422346,-500.0,9.9990191369,0.2
11,0.3668692338,0.00373584548264,0.361647582206,0.00385480422346,-489.899,9.9990191369,0.2
12,0.367814122167,0.00373584548264,0.358683232953,0.00385480422346,-479.798,9.9990191369,0.2
13,0.365673601861,0.00373584548264,0.363721952561,0.00385480422346,-469.697,9.9990191369,0.2
14,0.364804116957,0.00373584548264,0.365567946819,0.00385480422346,-459.5959,9.9990191369,0.2
15,0.366877892571,0.00373584548264,0.365224006914,0.00385480422346,-449.495,9.9990191369,0.2
16,0.36930018371,0.00373584548264,0.368069903263,0.00385480422346,-439.394,9.9990191369,0.2
17,0.370468035426,0.00373584548264,0.359717941763,0.00385480422346,-429.2929,9.9990191369,0.2
18,0.362004447722,0.00373584548264,0.355097453079,0.00385480422346,-419.1919,9.9990191369,0.2
19,0.363785268256,0.00373584548264,0.365399691417,0.00385480422346,-409.0909,9.9990191369,0.2
20,0.367736914793,0.00373584548264,0.357569417964,0.00385480422346,-398.9899,9.9990191369,0.2
21,0.363255279325,0.00373584548264,0.366908074264,0.00385480422346,-388.8889,9.9990191369,0.2
22,0.369750079011,0.00373584548264,0.357963297943,0.00385480422346,-378.7879,9.9990191369,0.2
23,0.367474986976,0.00373584548264,0.370714250829,0.00385480422346,-368.6869,9.9990191369,0.2
24,0.361605061917,0.00373584548264,0.361496798951,0.00385480422346,-358.5858,9.9990191369,0.2
25,0.369746110408,0.00373584548264,0.364362643816,0.00385480422346,-348.4849,9.9990191369,0.2
26,0.370214044815,0.00373584548264,0.369367794889,0.00385480422346,-338.3839,9.9990191369,0.2
27,0.361285408961,0.00373584548264,0.356439506588,0.00385480422346,-328.2828,9.9990191369,0.2
28,0.367767581273,0.00373584548264,0.361859311611,0.00385480422346,-318.1818,9.9990191369,0.2
29,0.367081373685,0.00373584548264,0.35454343468,0.00385480422346,-308.0808,9.9990191369,0.2
30,0.368474714224,0.00373584548264,0.357080197843,0.00385480422346,-297.9798,9.9990191369,0.2
31,0.365875279065,0.00373584548264,0.359790719447,0.00385480422346,-287.8788,9.9990191369,0.2
32,0.364900085,0.00373584548264,0.357992188895,0.00385480422346,-277.7778,9.9990191369,0.2
33,0.361671085045,0.00373584548264,0.360292596556,0.00385480422346,-267.6768,9.9990191369,0.2
34,0.362873571844,0.00373584548264,0.365828378115,0.00385480422346,-257.5757,9.9990191369,0.2
35,0.365736017167,0.00373584548264,0.359764442438,0.00385480422346,-247.4747,9.9990191369,0.2
36,0.361068218126,0.00373584548264,0.352257747648,0.00385480422346,-237.3737,9.9990191369,0.2
37,0.363310478989,0.00373584548264,0.358819708307,0.00385480422346,-227.2727,9.9990191369,0.2
38,0.372747096065,0.00373584548264,0.357753219449,0.00385480422346,-217.1717,9.9990191369,0.2
39,0.360757079627,0.00373584548264,0.355670044233,0.00385480422346,-207.0707,9.9990191369,0.2
40,0.36111656293,0.00373584548264,0.354672618509,0.00385480422346,-196.9697,9.9990191369,0.2
41,0.361697061357,0.00373584548264,0.353340332893,0.00385480422346,-186.8687,9.9990191369,0.2
42,0.366939947095,0.00373584548264,0.36478665293,0.00385480422346,-176.7677,9.9990191369,0.2
43,0.365319313821,0.00373584548264,0.367297001509,0.00385480422346,-166.6667,9.9990191369,0.2
44,0.366484640062,0.00373584548264,0.362034996115,0.00385480422346,-156.5657,9.9990191369,0.2
45,0.362823062347,0.00373584548264,0.353905219793,0.00385480422346,-146.4646,9.9990191369,0.2
46,0.359303849257,0.00373584548264,0.364062315491,0.00385480422346,-136.3636,9.9990191369,0.2
47,0.357972851867,0.00373584548264,0.35323206061,0.00385480422346,-126.2626,9.9990191369,0.2
48,0.357572672342,0.00373584548264,0.357587715567,0.00385480422346,-116.1616,9.9990191369,0.2
49,0.34705677556,0.00373584548264,0.346872611767,0.00385480422346,-106.0606,9.9990191369,0.2
50,0.348704900431,0.00373584548264,0.348292808423,0.00385480422346,-95.95959,9.9990191369,0.2
51,0.349782881321,0.00373584548264,0.351673462537,0.00385480422346,-85.85859,9.9990191369,0.2
52,0.349936321956,0.00373584548264,0.352614206965,0.00385480422346,-75.75758,9.9990191369,0.2
53,0.34647472577,0.00373584548264,0.342402218458,0.00385480422346,-65.65656,9.9990191369,0.2
54,0.335355925991,0.00373584548264,0.328984847613,0.00385480422346,-55.55556,9.9990191369,0.2
55,0.31469732545,0.00373584548264,0.30889779413,0.00385480422346,-45.45454,9.9990191369,0.2
