,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
0,0,0.364525593162,0.00373584548264,0.366953611908,0.00385480422346,-1000.0,9.999019136900001,0.2,0.36678779009486495
1,1,0.364867253828,0.00373584548264,0.35821643771399997,0.00385480422346,-944.4445,9.999019136900001,0.2,0.366777249198365
2,2,0.365281070917,0.00373584548264,0.370648902247,0.00385480422346,-888.8889,9.999019136900001,0.2,0.36676310327625145
3,3,0.359305111994,0.00373584548264,0.357200164082,0.00385480422346,-833.3333,9.999019136900001,0.2,0.3667449483887727
4,4,0.373657349348,0.00373584548264,0.36377065445100004,0.00385480422346,-777.7778,9.999019136900001,0.2,0.366722840266743
5,5,0.37122964647699996,0.00373584548264,0.371564057546,0.00385480422346,-722.2222,9.999019136900001,0.2,0.3666969450344423
6,6,0.364982704105,0.00373584548264,0.362308772279,0.00385480422346,-666.6667,9.999019136900001,0.2,0.366666854238223
7,7,0.357388384836,0.00373584548264,0.35182328276,0.00385480422346,-611.1111,9.999019136900001,0.2,0.36663064881307544
8,8,0.360931842485,0.00373584548264,0.360407747636,0.00385480422346,-555.5555,9.999019136900001,0.2,0.3665838352310925
9,9,0.35986349447800003,0.00373584548264,0.36457588655699996,0.00385480422346,-500.0,9.999019136900001,0.2,0.3665181599810457
10,10,0.365048005669,0.00373584548264,0.368776080676,0.00385480422346,-500.0,9.999019136900001,0.2,0.3665181599810457
11,11,0.3668692338,0.00373584548264,0.361647582206,0.00385480422346,-489.899,9.999019136900001,0.2,0.366503236132961
12,12,0.36781412216700005,0.00373584548264,0.358683232953,0.00385480422346,-479.798,9.999019136900001,0.2,0.3664871528516052
13,13,0.365673601861,0.00373584548264,0.363721952561,0.00385480422346,-469.69699999999995,9.999019136900001,0.2,0.3664697944487831
14,14,0.364804116957,0.00373584548264,0.365567946819,0.00385480422346,-459.5959,9.999019136900001,0.2,0.36645103409106455
