Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0.421605818794,0.00193471480129,0.426964152876,0.00326616127569,-1000.0,40.0000738328,0.2
1,0.416421773418,0.00191092563883,0.403731205865,0.00308843546116,-922.2222,40.0000738328,0.2
2,0.421703633493,0.00193516366499,0.423074939356,0.00323640983519,-844.4445,40.0000738328,0.2
3,0.41589887698,0.00190852610962,0.408918419492,0.00312811625441,-766.6667,40.0000738328,0.2
4,0.409972955015,0.00188133253584,0.414551711498,0.00317120942765,-688.8889,40.0000738328,0.2
5,0.4190638398,0.0019230498665,0.425819201121,0.0032574027018,-611.1111,40.0000738328,0.2
6,0.409125598976,0.00187744408792,0.40896033637,0.00312843690729,-533.3333,40.0000738328,0.2
7,0.411560226894,0.00188861639736,0.420869387095,0.00321953795183,-455.5555,40.0000738328,0.2
8,0.405852081893,0.00186242218435,0.406962427901,0.00311315344326,-377.7778,40.0000738328,0.2
9,0.395742810174,0.00181603155891,0.400145372217,0.00306100479532,-300.0,40.0000738328,0.2
10,0.395214521673,0.00181360728595,0.397192690421,0.00303841757136,-300.0,40.0000738328,0.2
11,0.393919223329,0.00180766326724,0.391162352434,0.00299228710285,-290.6897,40.0000738328,0.2
12,0.387375219415,0.00177763336568,0.396083445636,0.00302993214622,-281.3793,40.0000738328,0.2
13,0.394198986738,0.00180894707876,0.407604247749,0.00311806319299,-272.069,40.0000738328,0.2
14,0.390925157718,0.00179392374374,0.392078443211,0.00299929495163,-262.7586,40.0000738328,0.2
15,0.389703164695,0.00178831611718,0.3961667619,0.00303056949329,-253.4483,40.0000738328,0.2
16,0.394046137344,0.00180824566533,0.403146827664,0.00308396512463,-244.1379,40.0000738328,0.2
17,0.378238479813,0.001735705611,0.392258271791,0.00300067059205,-234.8276,40.0000738328,0.2
18,0.389230534763,0.00178614725687,0.392346116112,0.00300134257755,-225.5172,40.0000738328,0.2
19,0.376646216933,0.00172839884619,0.370877817907,0.00283711585318,-216.2069,40.0000738328,0.2
20,0.380159658544,0.0017445217439,0.375140143388,0.00286972150013,-206.8965,40.0000738328,0.2
21,0.374070860622,0.00171658074561,0.37001127702,0.00283048704776,-197.5862,40.0000738328,0.2
22,0.368340568056,0.00169028489923,0.379297417929,0.00290152353556,-188.2759,40.0000738328,0.2
23,0.365482017024,0.00167716724111,0.359945145814,0.00275348384335,-178.9655,40.0000738328,0.2
24,0.362739640443,0.00166458269809,0.362294690313,0.00277145722871,-169.6552,40.0000738328,0.2
25,0.351299955126,0.00161208691289,0.353392658078,0.00270335906926,-160.3448,40.0000738328,0.2
26,0.344699044892,0.00158179587286,0.349459975203,0.00267327509986,-151.0345,40.0000738328,0.2
27,0.336361177324,0.00154353407695,0.341977424398,0.0026160355927,-141.7241,40.0000738328,0.2
28,0.32483192137,0.00149062725938,0.323880976767,0.00247760262102,-132.4138,40.0000738328,0.2
29,0.298005872447,0.00136752470339,0.313442897957,0.00239775411718,-123.1034,40.0000738328,0.2
30,0.310146927036,0.00142323901513,0.312919454477,0.00239374991493,-113.7931,40.0000738328,0.2
31,0.293272042063,0.0013458015409,0.300127432483,0.00229589437696,-104.4828,40.0000738328,0.2
32,0.269519647386,0.00123680373418,0.273597541911,0.00209294782828,-95.17242,40.0000738328,0.2
33,0.24304466188,0.00111531217965,0.239616408819,0.00183300127243,-85.86207,40.0000738328,0.2
34,0.221994537528,0.00101871487161,0.223266756509,0.00170793081655,-76.55173,40.0000738328,0.2
45,0.198830145109,0.000912415359412,0.197391364347,0.0015099910052,77.95918,40.0000738328,0.2
46,0.211069638273,0.000968581397756,0.203672168616,0.00155803747361,87.55102,40.0000738328,0.2
47,0.248740284817,0.00114144892992,0.245582060266,0.00187863690627,97.14286,40.0000738328,0.2
