Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0.357504078829,0.0222256844217,0.369792662102,0.0224371893349,-1000.0,40.0000738328,0.2
1,0.376662002076,0.0222256844217,0.373861672613,0.0224371893349,-922.2222,40.0000738328,0.2
2,0.373008467198,0.0222256844217,0.362868305187,0.0224371893349,-844.4445,40.0000738328,0.2
3,0.363976358911,0.0222256844217,0.360657193162,0.0224371893349,-766.6667,40.0000738328,0.2
4,0.371449161341,0.0222256844217,0.374427476403,0.0224371893349,-688.8889,40.0000738328,0.2
5,0.372495792196,0.0222256844217,0.369650856444,0.0224371893349,-611.1111,40.0000738328,0.2
6,0.372219463594,0.0222256844217,0.383433988113,0.0224371893349,-533.3333,40.0000738328,0.2
7,0.385345878286,0.0222256844217,0.367031117106,0.0224371893349,-455.5555,40.0000738328,0.2
8,0.371109635066,0.0222256844217,0.368479442383,0.0224371893349,-377.7778,40.0000738328,0.2
9,0.354807859727,0.0222256844217,0.370362170654,0.0224371893349,-300.0,40.0000738328,0.2
10,0.356582553573,0.0222256844217,0.361299693398,0.0224371893349,-300.0,40.0000738328,0.2
11,0.340473595625,0.0222256844217,0.341576489005,0.0224371893349,-279.4872,40.0000738328,0.2
12,0.350563942503,0.0222256844217,0.353951338352,0.0224371893349,-258.9744,40.0000738328,0.2
13,0.32959005346,0.0222256844217,0.332425176298,0.0224371893349,-238.4615,40.0000738328,0.2
14,0.311972347794,0.0222256844217,0.320603045839,0.0224371893349,-217.9487,40.0000738328,0.2
15,0.325358388846,0.0222256844217,0.312895486576,0.0224371893349,-197.4359,40.0000738328,0.2
16,0.309707162618,0.0222256844217,0.30711795041,0.0224371893349,-176.9231,40.0000738328,0.2
17,0.286869748306,0.0222256844217,0.267274738019,0.0224371893349,-156.4103,40.0000738328,0.2
18,0.271870909079,0.0222256844217,0.275953181273,0.0224371893349,-135.8974,40.0000738328,0.2
19,0.237127149849,0.0222256844217,0.22066332047,0.0224371893349,-115.3846,40.0000738328,0.2
20,0.182365624335,0.0222256844217,0.18123472607,0.0224371893349,-94.8718,40.0000738328,0.2
21,0.115477658333,0.0222256844217,0.116431274178,0.0224371893349,-74.35897,40.0000738328,0.2
22,0.07371063849,0.0222256844217,0.0696212341165,0.0224371893349,-53.84615,40.0000738328,0.2
