Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,250,400,13.1221401,0.467313919,0.325674506
1468,200,400,14.2505814,0.229248473,1.416639276
1465,50,400,17.27006838,0.445359166,0.671826891
1464,-1200,400,4.890812747,0.264512992,0.802522633
1467,150,400,15.36287647,0.217185018,1.593066833
1466,100,400,16.38496964,0.349912844,0.593965596
1461,-750,400,6.109721346,0.360385326,0.125835558
1460,-600,400,7.566239287,0.338735715,0.132830263
1463,-1050,400,5.125007966,0.296219202,0.21455952
1462,-900,400,5.613683049,0.439309743,0.450694657
1490,1200,1000,8.874728135,0.204770193,2.157423648
1491,1800,1000,6.564692004,0.216053841,0.490038779
1492,2400,1000,5.292302685,0.318309011,0.187655584
1418,-160,150,9.847550549,0.228045534,1.239196432
1419,-200,150,8.169294175,0.257902686,1.11404381
1410,0,1200,17.23118287,0.254492993,3.374762287
1411,0,1400,17.10969894,0.254928254,0.810197296
1412,0,1600,16.98432551,0.259713899,1.306765021
1413,0,2000,16.93179749,0.332004925,1.226239982
1414,0,2500,17.14812903,0.523367415,0.642004091
1415,-40,150,16.5175834,0.645378611,0.470137753
1416,-80,150,13.95682422,0.647743016,0.120069733
1417,-120,150,11.55547139,0.206148579,0.866206345
1483,-1800,1000,6.816828424,0.191740527,0.780275835
1482,-1200,1000,8.842506581,0.401813043,0.212290677
1481,-900,1000,10.84448863,0.204255415,0.974764163
1480,-600,1000,13.40261361,0.319348722,0.738542599
1487,300,1000,15.86087019,0.229751563,1.941591897
1486,150,1000,16.84063751,0.259478097,1.036687946
1485,50,1000,17.07685058,0.268174147,1.521351434
1484,-2400,1000,5.214328083,0.235872412,1.122742118
1489,900,1000,10.69945966,0.446602789,0.290868168
1488,600,1000,13.40304691,0.240928295,1.831417797
1409,0,1000,16.98755911,0.38446101,0.264774391
1408,0,900,17.17685926,0.382602605,1.292776112
1403,0,300,17.09839774,0.384051956,0.423739228
1402,0,250,17.13714267,0.340287446,1.032208424
1401,0,200,17.1768052,0.271966678,1.990112072
1400,0,150,17.39822634,0.488211288,0.064757037
1407,0,700,17.30118883,0.400134038,0.829279629
1406,0,600,17.29164461,0.256793419,0.778508933
1405,0,500,17.03305956,0.293277702,2.054653952
1404,0,400,16.95251313,0.273919177,0.791090862
1436,-200,200,9.961495987,0.301366417,0.137845139
1437,-250,200,8.563692559,0.194704212,0.342410547
1434,-100,200,14.33481596,0.342960965,0.741821461
1435,-150,200,12.10151611,0.263474363,1.01162753
1432,400,150,4.820942331,0.360681872,0.249314486
1433,-50,200,16.45887594,0.642551253,0.235302775
1430,280,150,6.268118934,0.404338565,0.263133379
1431,340,150,5.412442243,0.213822269,0.742620498
1438,-300,200,7.512119928,0.19371469,2.056755804
1439,-350,200,6.814011089,0.209931777,0.68506448
1421,-280,150,6.186016343,0.413998224,0.102065133
1420,-240,150,7.280428246,0.329314613,0.975715697
1423,-400,150,4.884600586,0.20299744,0.561543088
1422,-340,150,5.51299963,0.303113935,0.314882919
1425,80,150,13.85427789,0.208329078,0.328727902
1424,40,150,16.01950991,0.402542279,0.191496442
1427,160,150,9.619216065,0.350648795,0.608851665
1426,120,150,11.39841555,0.631760943,0.044589515
1429,240,150,7.039623865,0.450449383,0.224654888
1428,200,150,7.942748305,0.196631332,0.907948367
1454,-100,400,16.08578177,0.285589117,0.988221906
1455,-150,400,15.07674723,0.33204642,1.363024422
1456,-200,400,14.41158858,0.408673002,0.533337104
1457,-250,400,13.17405694,0.25803761,2.67890313
1450,400,200,5.823148206,0.295883729,0.368106722
1451,500,200,5.301542623,0.201156064,0.397854311
1453,-50,400,16.99826651,0.282990742,2.126674486
1458,-300,400,11.93098706,0.361692667,0.728970303
1459,-450,400,9.32416058,0.315103118,1.226903091
1447,250,200,8.576262122,0.192822075,2.321625113
1446,200,200,9.851012466,0.227104843,0.661670448
1445,150,200,11.87624277,0.245072866,0.243570799
1444,100,200,14.17710257,0.366482177,0.369276357
1443,50,200,15.9913743,0.655770187,0.12092729
1442,-600,200,4.729496223,0.303273224,0.447242262
1441,-500,200,5.396703195,0.256174256,0.337330615
1440,-400,200,6.04969476,0.188948876,0.833044793
1449,350,200,6.528038245,0.312961809,0.892942945
1448,300,200,7.306008646,0.233359168,0.60526976
1472,600,400,7.606718195,0.180102354,1.944249566
1473,750,400,6.3240299,0.186856228,0.578934387
1470,300,400,11.87763096,0.199714211,1.298005729
1471,450,400,9.221532893,0.307308566,0.372919176
1476,1200,400,4.895519087,0.34938404,0.411884484
1477,-50,1000,17.21072026,0.228679863,1.795456055
1474,900,400,5.524061433,0.226680633,2.649511578
1475,1050,400,5.104542705,0.207820324,1.409687403
1478,-150,1000,16.91813834,0.312633136,0.114202475
1479,-300,1000,15.7922672,0.248945278,0.459430143
