Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1502,-2340,1000,5.236384764,0.695432833,0.234229978
1501,-1740,1000,5.64454775,0.657151147,0.324735167
1476,-1540,400,4.62880183,0.640346449,0.365500893
1500,-1340,1000,6.669063437,0.750196463,1.109459772
1475,-1340,400,4.964190806,0.693801525,1.274657775
1474,-1140,400,4.460726606,0.654573397,0.323216126
1473,-990,400,5.039010177,0.712122489,1.820608691
1499,-940,1000,7.072807151,0.661021762,1.26117997
1472,-840,400,5.413671923,0.708415561,0.071734185
1498,-740,1000,8.19315832,0.682588997,0.206594317
1471,-690,400,5.826686267,0.667826162,0.593726306
1442,-640,200,4.785608865,0.632863597,0.317059948
1497,-540,1000,8.679571823,0.69569181,0.51765353
1470,-540,400,6.685111177,0.697103982,0.27068379
1441,-440,200,5.567058667,0.685401461,0.095061008
1469,-390,400,7.48146768,0.680006937,0.706279939
1496,-340,1000,9.206960523,0.692283251,0.896647192
1440,-340,200,6.276962233,0.671272662,0.843282457
1439,-280,200,7.163159432,0.691067317,2.168513617
1468,-240,400,9.659175268,0.748751626,1.060182791
1495,-240,1000,9.636377415,0.728230294,0.451171492
1438,-220,200,7.637315197,0.757717208,0.346957262
1467,-190,400,9.837294408,0.706662831,2.914861594
1419,-180,50,5.146601083,0.649609811,0.129332729
1437,-180,200,8.940413669,0.716111655,0.436705565
1466,-140,400,10.50054026,0.731024887,0.084814968
1418,-140,50,5.579685478,0.716728241,1.165562132
1436,-140,200,9.952727465,0.787761299,0.788618358
1417,-100,50,7.240551465,0.7309167,0.89830103
1435,-100,200,12.32514576,0.871893817,0.830188537
1465,-90,400,11.05726185,0.745271877,0.759077067
1494,-90,1000,9.449206506,0.686298454,0.684749356
1416,-60,50,11.05751936,0.827999457,0.390387174
1434,-60,200,13.24271582,0.84809406,0.205490186
1464,-40,400,11.68343511,0.748808123,0.151899629
1415,-20,50,22.83755812,0.97216866,1.316954083
1433,-20,200,14.67698243,0.825865687,0.958832087
1493,-15,1000,9.951676892,0.667846504,1.544513861
1410,0,1200,9.61063081,0.742624365,1.267333982
1411,0,1400,9.740605498,0.775673534,0.023272259
1412,0,1600,9.746750651,0.728660007,0.884135464
1413,0,2000,8.759249347,0.65287612,0.507507112
1414,0,2500,8.808650198,0.791631761,0.857375314
1409,0,1000,10.09384092,0.860400829,0.954193184
1408,0,900,10.22006701,0.702071469,0.699808173
1403,0,300,12.48564822,0.723699888,0.577545545
1402,0,250,13.63466554,0.823740007,0.625225697
1401,0,200,16.0425706,0.836606401,0.653072886
1400,0,150,18.13468101,0.810245015,1.789557482
1407,0,700,10.52239677,0.721618317,0.834325752
1406,0,600,10.78779347,0.875535329,0.138914172
1405,0,500,10.75355708,0.723259848,0.580240982
1404,0,400,11.63239985,0.805996338,0.226866563
1477,10,400,11.63244191,0.744252814,0.601899255
1420,20,50,30.88115723,1.06448805,1.247293934
1443,20,200,15.55952192,0.873084867,0.106395793
1421,30,50,29.45662372,1.07569707,0.120332942
1444,30,200,15.12621525,0.821787191,0.772608765
1422,40,50,25.94595615,1.042422751,0.588780374
1445,40,200,16.16464905,0.848422294,0.591558743
1423,50,50,23.19833638,0.947924932,0.06536129
1446,50,200,15.31724076,0.847163431,0.335313535
1424,60,50,20.6471842,0.960068417,0.078205092
1503,60,1000,9.831346691,0.741894461,0.038338266
1447,60,200,14.83683842,0.786490021,0.482863624
1478,60,400,11.32673683,0.782211266,1.08735119
1426,70,50,17.52376579,0.882362269,1.377040529
1449,70,200,14.54469028,0.862103896,0.199070326
1427,80,50,15.68289772,0.7495296,1.03582343
1450,80,200,13.71633364,0.777309473,0.213071358
1428,90,50,14.11711438,0.800162825,0.499143107
1451,90,200,13.80113298,0.780898448,0.390728167
1429,100,50,11.69792331,0.738318409,0.794179943
1452,100,200,13.53757789,0.849777536,0.231643718
1480,110,400,11.84052277,0.841059561,0.395904626
1430,120,50,8.918206215,0.827808054,0.286775159
1453,120,200,13.00066635,0.78296618,0.303408744
1505,135,1000,9.958685776,0.776449347,0.431599204
1431,140,50,7.754627767,0.717734411,0.726249421
1454,140,200,11.78772789,0.698245717,0.584315118
1481,160,400,10.6936785,0.783597365,0.247541468
1432,180,50,6.05743625,0.697842272,0.412937142
1455,180,200,10.39822006,0.753727491,2.217247063
1482,210,400,9.645133692,0.730194019,1.410379446
1506,210,1000,9.614315707,0.739069495,0.592081461
1456,220,200,8.861833406,0.739819021,0.604060962
1483,260,400,9.407898217,0.644705622,0.926530438
1457,260,200,8.260953553,0.69033728,0.246520008
1458,300,200,7.547019969,0.677804781,0.061039178
1484,310,400,8.450898837,0.693795628,0.355846509
1459,340,200,6.789098672,0.594184339,0.34284029
1485,360,400,8.419196339,0.727131682,0.482509284
1507,360,1000,8.827072681,0.76377251,0.642823698
1460,400,200,6.798672537,0.63150934,0.657097662
1461,460,200,5.983269124,0.677518019,0.626210516
1508,460,1000,9.283272128,0.697508329,0.650881171
1486,510,400,6.553151955,0.708721654,0.060258945
1462,560,200,6.06465275,0.712355467,0.800996168
1487,660,400,6.314699032,0.63099163,1.559772753
1509,660,1000,8.369502692,0.757826535,0.505992074
1463,760,200,4.920344005,0.640823299,0.512306312
1488,810,400,5.717119216,0.644261236,0.251793087
1510,860,1000,7.68859835,0.71689532,0.988126994
1489,960,400,5.420589181,0.637994005,0.457261047
1511,1060,1000,6.34846338,0.658716822,0.136397809
1490,1110,400,4.70773301,0.683568981,0.393899748
1491,1260,400,5.069645029,0.666323468,0.186763918
1492,1460,400,5.312443767,0.66877543,0.277889259
1512,1460,1000,5.632484217,0.631684406,1.516664016
1513,1860,1000,5.338805781,0.631164152,1.588867575
1514,2460,1000,5.753873016,0.611495951,1.301222359
