Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,250,400,2.1085875125,0.0909094579095,3.07809500707
1468,200,400,2.31226864573,0.1115096355,3.230370843
1465,50,400,2.46793776048,0.204009449239,1.17410044863
1464,-1200,400,2.09603869999,0.212533615927,0.354284509493
1467,150,400,2.36804151718,0.324620740527,0.578711240662
1466,100,400,2.36867598071,0.217041271138,1.13065841595
1461,-750,400,2.08916967654,0.118110651988,1.76599549951
1460,-600,400,2.12763429581,0.179016341118,0.834927165346
1463,-1050,400,1.9566118459,0.072304662186,2.88342657722
1462,-900,400,2.06127375612,0.145126583194,0.469578970454
1490,1200,1000,2.03806239482,0.0634924475434,10.7340693549
1491,1800,1000,2.01357427213,0.0813370978232,3.03718622232
1492,2400,1000,1.97412083236,0.135751523,0.750898384474
1418,-160,150,2.00147747555,0.0846092638951,2.0003025186
1419,-200,150,2.00375287417,0.0915534157138,3.67979243152
1410,0,1200,2.29352511354,0.0519146183861,30.598071307
1411,0,1400,2.38258107682,0.106179283644,8.46205207301
1412,0,1600,2.28258430214,0.062011272785,22.6601892935
1413,0,2000,2.25669784185,0.0644281496749,30.0964603082
1414,0,2500,2.29908400202,0.0903815031131,11.814641661
1415,-40,150,2.29639095659,0.0695041047783,10.7931734197
1416,-80,150,2.02367964616,0.088149838743,3.70342198843
1417,-120,150,2.09256506521,0.0987052601575,4.59224634937
1483,-1800,1000,2.07641502814,0.12133335609,1.47250471605
1482,-1200,1000,2.17899811582,0.124422990081,1.76071770681
1481,-900,1000,2.13786380834,0.129594779076,1.11787469541
1480,-600,1000,2.1805734782,0.0589628607469,9.13027973083
1487,300,1000,2.21584022521,0.103855659255,6.18608321725
1486,150,1000,2.36456210399,0.0654129655511,14.7548347511
1485,50,1000,2.42292726772,0.151533544906,1.96056848395
1484,-2400,1000,1.93988277287,0.118239111441,1.60520035723
1489,900,1000,2.10006953149,0.0567639608915,7.84557142749
1488,600,1000,2.10979966645,0.0766685895566,4.01307307038
1409,0,1000,2.44333776474,0.107613546598,3.64217109716
1408,0,900,2.37798539277,0.0994227763488,8.49741232567
1403,0,300,2.4801723714,0.131848431989,7.27827256418
1402,0,250,2.37359653507,0.0612029127817,12.313360637
1401,0,200,2.40905599345,0.059810278016,43.4936096804
1400,0,150,2.34193907398,0.160544330073,9.43636799754
1407,0,700,2.47036476486,0.186660823474,3.80552801588
1406,0,600,2.31670902047,0.106417606386,12.3699803501
1405,0,500,2.28470165846,0.0687786083859,23.1985741851
1404,0,400,2.40588353769,0.166866901592,3.76390198744
1436,-200,200,2.11520731967,0.0608137756622,7.31130398748
1437,-250,200,1.95615506743,0.0555724954947,14.4416327306
1434,-100,200,2.15417512175,0.0855431077409,4.9933516954
1435,-150,200,2.15350961741,0.147239852826,3.15190251068
1432,400,150,1.94866269399,0.0555822242008,8.26212137383
1433,-50,200,2.22444290338,0.271513048122,0.271849687137
1430,280,150,2.03509271616,0.0804312700988,4.44623856322
1431,340,150,1.97246628707,0.0698598182752,5.35062816471
1438,-300,200,2.00461816871,0.0646690852201,3.11200864794
1439,-350,200,2.0090135476,0.0641855988419,5.45496836836
1421,-280,150,1.96151816328,0.0577392274747,7.12282109483
1420,-240,150,1.99260935887,0.0679106155825,6.6170961326
1423,-400,150,1.93273470684,0.13020142712,0.913086574466
1422,-340,150,2.06181699038,0.214015808726,0.340885833733
1425,80,150,2.10465507831,0.0616511845522,16.0628773552
1424,40,150,2.25350580329,0.0571300318633,15.9721504631
1427,160,150,2.03575597034,0.0673693492218,3.61937501831
1426,120,150,2.07312815767,0.059468912347,8.9848339425
1429,240,150,2.05426534572,0.0656009041904,2.41695704053
1428,200,150,2.07262274572,0.0573960111606,6.69673792287
1454,-100,400,2.27807806027,0.136695546766,6.80051193361
1455,-150,400,2.34295498822,0.176000600874,1.54080514357
1456,-200,400,2.15088082843,0.0832080709776,14.9304559905
1457,-250,400,2.27408878182,0.172164030521,2.61104566728
1450,400,200,1.98978082916,0.0856589063049,7.67791915273
1451,500,200,1.99930763659,0.0600788388432,20.0683446965
1452,600,200,2.07395040692,0.262609039703,0.967301223064
1453,-50,400,2.39996242826,0.126565900298,3.61360848872
1458,-300,400,2.1995636589,0.150623717106,2.75367188797
1459,-450,400,2.17250057325,0.210381609082,0.900432528124
1447,250,200,2.17022055789,0.223208812293,0.72180831741
1446,200,200,2.10775940873,0.0937999099088,2.52241555644
1445,150,200,2.22443100309,0.184113975027,0.684533785935
1444,100,200,2.21780416545,0.0637912866482,6.78972848805
1443,50,200,2.51359646213,0.358110791372,0.27605251047
1442,-600,200,2.0214890105,0.155511700037,1.04824929432
1441,-500,200,1.99036728358,0.170872241368,1.71903762696
1440,-400,200,2.08129369649,0.213734458426,0.360460997877
1449,350,200,2.14343104755,0.201727077285,1.76589655164
1448,300,200,2.1475558802,0.313470568922,0.397101793995
1472,600,400,2.00000300232,0.174680025505,0.72785225434
1473,750,400,2.01354733562,0.0581000013973,1.43817434794
1470,300,400,2.20015869857,0.131083492028,0.985201786469
1471,450,400,2.08976544765,0.105371107682,5.0554667112
1476,1200,400,1.90474000578,0.0600429744614,10.7148374597
1477,-50,1000,2.3299661282,0.0812316751511,12.7927890065
1474,900,400,1.99209138532,0.0895730816473,2.0256968054
1475,1050,400,1.9583716869,0.165751880504,1.26790632865
1478,-150,1000,2.31753792535,0.096898957096,6.73519204168
1479,-300,1000,2.21597129816,0.0936858000174,3.26514466038
