Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1417,-120,150,22.28735244,0.372693824,0.339400289
1413,0,2000,12.54795844,0.26416151,0.529796128
1412,0,1600,12.88606417,0.273290211,1.434604281
1414,0,2500,12.42872335,0.336871176,0.026672759
1415,-40,150,25.69400619,0.408639147,3.65427914
1410,0,1200,13.52906172,0.398848864,0.717198728
1409,0,1000,14.29849428,0.441060094,0.674353981
1408,0,900,14.30689817,0.370927298,1.623632933
1416,-80,150,24.2145335,0.342802693,3.084019016
1411,0,1400,13.161342,0.353580756,0.283271424
1403,0,300,24.30552142,2.101228055,2.771840669
1402,0,250,23.05620937,0.340087453,0.889316108
1401,0,200,24.50559107,0.371249394,0.553006264
1400,0,150,25.085739,0.449127251,5.329109217
1407,0,700,15.92699534,0.254385145,1.858410803
1406,0,600,16.65131814,0.476756271,0.734883042
1405,0,500,18.21813419,0.491182929,1.480219558
1404,0,400,19.54271522,0.306669965,4.072253674
1476,1200,400,5.80544418,0.21965184,0.68593867
1471,450,400,9.33582551,0.53639835,1.04618559
1483,-1800,1000,6.95006013,0.37127329,1.1776722
1482,-1200,1000,8.4645237,0.3311454,0.55973029
1481,-900,1000,10.0152618,0.22481357,0.94240937
1480,-600,1000,12.1528793,0.55248592,0.09765109
1487,300,1000,13.263188,0.40532566,0.40066237
1486,150,1000,13.5225038,0.26318083,1.05928818
1485,50,1000,14.3751968,0.48959177,0.12274067
1484,-2400,1000,5.85807064,0.25686638,0.20715198
1489,900,1000,9.30471691,0.2332822,1.04414885
1488,600,1000,10.7913992,0.22884236,0.64451886
1421,-280,150,15.0595652,0.33379488,2.54925805
1420,-240,150,16.6400377,0.28790963,0.34614841
1423,-400,150,11.4173244,0.26265845,1.06561617
1422,-340,150,13.7022478,0.34185344,1.06464845
1425,80,150,17.9621697,0.32844064,2.58686595
1424,40,150,21.988678,0.60119274,0.26100287
1427,160,150,11.8407697,0.22636523,0.44594727
1426,120,150,14.4652491,0.26293875,1.88247812
1429,240,150,8.57496897,0.24570255,1.32816774
1428,200,150,9.72392478,0.24313944,1.76418283
1469,250,400,13.1526983,0.25634158,1.61848637
1470,300,400,11.7875066,0.34829929,1.93602647
1455,-150,400,20.7118592,0.33865173,0.37121504
1447,250,200,9.70123025,0.23195242,0.77204435
1446,200,200,11.5933396,0.35425952,0.6279709
1445,150,200,13.8871847,0.25273335,3.82896748
1444,100,200,17.3406182,0.31686692,2.02809938
1443,50,200,21.240071,0.36353058,1.33035834
1442,-600,200,7.78933346,0.22798135,0.21872599
1441,-500,200,10.1548171,0.21757209,1.67248072
1440,-400,200,13.6141732,0.33776144,0.83017848
1465,50,400,18.8302559,0.46608928,1.28522972
1464,-1200,400,5.9990888,0.25692286,1.46736728
1467,150,400,16.0257488,0.25586278,1.29887827
1466,100,400,17.2868939,0.2986399,0.1930308
1461,-750,400,8.22890513,0.2192317,1.04285683
1460,-600,400,10.7929636,0.43992196,0.33794753
1449,350,200,7.74991649,0.23741882,1.31125582
1448,300,200,8.49449092,0.30919596,0.55688885
1474,900,400,6.33275933,0.3911272,0.64983448
1475,1050,400,5.67917196,0.24146632,1.75914857
1477,-50,1000,14.3553805,0.33178238,0.48123165
1490,1200,1000,8.00226055,0.41629453,0.3414001
1491,1800,1000,6.88939147,0.43338355,0.37538638
1492,2400,1000,5.84560961,0.27295604,0.740414
1473,750,400,6.70395378,0.24743388,0.35539382
1468,200,400,14.6323325,0.25198458,0.70033242
1472,600,400,7.78780468,0.21845386,3.98614961
1436,-200,200,20.9572433,0.52639213,0.39944134
1437,-250,200,19.0022535,0.36549151,1.04100605
1434,-100,200,24.5162081,0.76663542,0.41741146
1435,-150,200,22.9818476,0.32020613,3.18673804
1432,400,150,6.26600092,0.2513916,0.50527004
1433,-50,200,25.2019319,0.3245373,1.54767516
1430,280,150,7.58158045,0.32063964,0.9552772
1431,340,150,6.65756878,0.20859332,1.71129373
1463,-1050,400,6.39500588,0.33221006,0.19146909
1438,-300,200,17.4311894,0.42397323,0.42957572
1439,-350,200,15.3654488,0.45672982,0.46463746
1454,-100,400,20.6841344,0.28769344,4.4336065
1419,-200,150,17.9606539,0.40240575,0.85981431
1456,-200,400,19.5226356,0.30141793,7.45751879
1457,-250,400,19.1233399,0.29548286,1.04543634
1450,400,200,7.20478286,0.25423434,0.61524939
1451,500,200,6.37635727,0.27814156,0.52248482
1452,600,200,5.8617872,0.21435848,0.67378997
1453,-50,400,20.5192029,0.31827267,1.21463416
1478,-150,1000,14.1064301,0.35992008,0.86220616
1462,-900,400,7.04320519,0.2544354,1.2575059
1458,-300,400,18.2182895,0.40724838,1.6307094
1459,-450,400,13.9218292,0.3321094,1.07426339
1479,-300,1000,13.7199521,0.22919591,0.72439105
